"","Primary","Recurrence","sample"
"1","405.936170137228","555.584090089489","duke248_p3"
"2","1094.80938913174","1060.56659897322","duke254_p4"
"3","386.64956231511","782.417286472213","nki23_p5"
"4","574.274508097411","952.421093407957","nki26_p6"
"5","941.590233075246","973.590938499584","nki28_p7"
"6","407.242120762651","1319.88591851426","nki19_p8"
"7","758.457087110861","959.511057102727","nki22_p9"
"8","1324.3583138173","944.953145177492","nki15_p10"
"9","1738.80680807397","763.144735204133","nki31_p11"
"10","1315.04033466284","1201.96262730581","nki12_p12"
